Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Manufacture of furniture,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of furniture,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Manufacture of furniture,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Other manufacturing,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Rental and leasing activities,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of furniture,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Civil engineering,ISIC Division
