EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
"Cultivation of vegetables, fruit, nuts",A,1.13,A01.13,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_113
Cultivation of crops nec,A,1.27,A01.27,Growing of beverage crops,Growing of beverage crops,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_127
"Cultivation of vegetables, fruit, nuts",A,1.23,A01.23,Growing of citrus fruits,Growing of citrus fruits,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_123
"Cultivation of vegetables, fruit, nuts",A,1.21,A01.21,Growing of grapes,Growing of grapes,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_121
"Cultivation of vegetables, fruit, nuts",A,1.26,A01.26,Growing of oleaginous fruits,Growing of oleaginous fruits,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_126
Cultivation of crops nec,A,1.29,A01.29,Growing of other perennial crops,Growing of other perennial crops,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_129
"Cultivation of vegetables, fruit, nuts",A,1.25,A01.25,Growing of other tree and bush fruits and nuts,Growing of other tree and bush fruits and nuts,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_125
"Cultivation of vegetables, fruit, nuts",A,1.24,A01.24,Growing of pome fruits and stone fruits,Growing of pome fruits and stone fruits,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_124
Cultivation of crops nec,A,1.28,A01.28,"Growing of spices, aromatic, drug and pharmaceutical crops","Growing of spices, aromatic, drug and pharmaceutical crops",Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_128
"Cultivation of vegetables, fruit, nuts",A,1.22,A01.22,Growing of tropical and subtropical fruits,Growing of tropical and subtropical fruits,Growing of perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_12,A_1_12_122
Education (80),P,85.41,P85.41,Post-secondary non-tertiary education,Higher education,Higher education,Education,Education,P_85_853,P_85_853_8530
Education (80),P,85.42,P85.42,Tertiary education,Higher education,Higher education,Education,Education,P_85_853,P_85_853_8530
Health and social work (85),Q,86.1,Q86.10,Hospital activities,Hospital activities,Hospital activities,Human health activities,Human health and social work activities,Q_86_861,Q_86_861_8610
Animal products nec,A,1.7,A01.70,"Hunting, trapping and related service activities","Hunting, trapping and related service activities","Hunting, trapping and related service activities","Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_17,A_1_17_170
Meat animals nec,A,1.7,A01.70,"Hunting, trapping and related service activities","Hunting, trapping and related service activities","Hunting, trapping and related service activities","Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_17,A_1_17_170
Inland water transport,H,50.4,H50.40,Inland freight water transport,Inland freight water transport,Inland water transport,Water transport,Transportation and storage,H_50_502,H_50_502_5022
Inland water transport,H,50.3,H50.30,Inland passenger water transport,Inland passenger water transport,Inland water transport,Water transport,Transportation and storage,H_50_502,H_50_502_5021
Manufacture of electrical machinery and apparatus n.e.c. (31),C,33.2,C33.20,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Repair and installation of machinery and equipment,Manufacturing,C_33_332,C_33_332_3320
Manufacture of furniture; manufacturing n.e.c. (36),C,33.2,C33.20,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Repair and installation of machinery and equipment,Manufacturing,C_33_332,C_33_332_3320
Manufacture of machinery and equipment n.e.c. (29),C,33.2,C33.20,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Repair and installation of machinery and equipment,Manufacturing,C_33_332,C_33_332_3320
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,33.2,C33.20,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Repair and installation of machinery and equipment,Manufacturing,C_33_332,C_33_332_3320
Manufacture of office machinery and computers (30),C,33.2,C33.20,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Repair and installation of machinery and equipment,Manufacturing,C_33_332,C_33_332_3320
"Manufacture of radio, television and communication equipment and apparatus (32)",C,33.2,C33.20,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Installation of industrial machinery and equipment,Repair and installation of machinery and equipment,Manufacturing,C_33_332,C_33_332_3320
"Insurance and pension funding, except compulsory social security (66)",K,65.11,K65.11,Life insurance,Life insurance,Insurance,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities,K_65_651,K_65_651_6511
